Incident_ID,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop
A-882000,False,False,True,False,False,True,False,False,False,False,False,True,False
A-394246,False,False,False,False,False,False,False,False,False,False,False,False,False
A-1422740,False,False,False,False,False,False,False,False,False,False,False,False,False
A-4991126,False,False,False,False,False,False,False,False,False,False,False,False,False
A-5472585,False,False,False,False,False,False,False,False,False,False,False,False,False
A-7676832,False,False,False,False,False,False,False,False,False,False,False,False,False
A-2686529,False,False,False,False,False,False,False,False,False,False,False,False,False
A-2268648,False,False,False,False,False,False,False,False,False,False,False,True,False
A-293601,False,False,False,False,False,False,False,False,False,False,False,False,False
A-5509708,False,False,False,False,False,False,False,False,False,False,False,False,False
A-5636216,False,False,False,False,False,False,False,False,False,False,False,False,False
A-793146,False,False,False,False,False,False,False,False,False,False,False,False,False
A-6258412,False,False,False,False,False,False,False,False,False,False,False,False,False
A-429005,False,False,False,False,False,False,False,False,False,False,False,True,False
A-384688,False,False,False,False,False,False,False,False,False,False,False,False,False
A-1636211,False,False,True,False,False,False,False,False,True,False,False,True,False
A-4925183,False,False,False,False,False,False,False,False,False,False,False,False,False
A-1659555,False,False,False,False,False,False,False,False,False,False,False,False,False
A-4925987,False,False,False,False,False,False,False,False,False,False,False,False,False
A-489029,False,False,False,False,False,False,False,False,False,False,False,False,False
A-1217643,False,False,False,False,False,False,False,False,False,False,False,True,False
A-5110832,False,False,True,False,False,False,True,False,False,False,False,False,False
A-627309,False,False,False,False,False,False,False,False,False,False,False,False,False
A-4115985,False,False,False,False,True,False,False,False,False,False,False,False,False
A-7172326,False,False,False,False,False,False,False,False,False,False,False,False,False
A-3427888,False,False,False,False,True,False,False,False,False,False,False,False,False
A-282173,False,False,False,False,False,False,False,False,False,False,False,False,False
